trial,timestep,scenario,power,stress,detection,is_attack,yaw_0,yaw_1,yaw_2
4,0,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,1,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,2,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,3,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,4,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,5,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,6,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,7,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,8,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,9,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,10,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,11,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,12,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,13,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,14,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,15,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,16,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,17,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,18,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,19,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,20,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,21,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,22,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,23,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,24,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,25,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,26,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,27,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,28,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,29,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,30,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,31,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,32,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,33,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,34,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,35,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,36,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,37,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,38,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,39,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,40,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,41,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,42,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,43,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,44,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,45,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,46,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,47,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,48,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,49,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,50,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,51,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,52,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,53,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,54,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,55,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,56,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,57,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,58,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,59,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,60,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,61,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,62,baseline,2801830.6561841466,0.0,False,False,0.0,0.0,0.0
4,63,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,64,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,65,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,66,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,67,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,68,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,69,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
